#v4	V5	V4	out	I(V6)
3.380000000000035e+000	5.000000e+000	3.380000e+000	2.756655e-010	-2.000200e-011
3.370000000000035e+000	5.000000e+000	3.370000e+000	2.763398e-010	-2.000200e-011
3.360000000000035e+000	5.000000e+000	3.360000e+000	2.770230e-010	-2.000200e-011
3.350000000000035e+000	5.000000e+000	3.350000e+000	2.777151e-010	-2.000200e-011
3.340000000000035e+000	5.000000e+000	3.340000e+000	2.784163e-010	-2.000200e-011
3.330000000000036e+000	5.000000e+000	3.330000e+000	2.791268e-010	-2.000200e-011
3.320000000000036e+000	5.000000e+000	3.320000e+000	2.798469e-010	-2.000200e-011
3.310000000000036e+000	5.000000e+000	3.310000e+000	2.805766e-010	-2.000200e-011
3.300000000000036e+000	5.000000e+000	3.300000e+000	2.813162e-010	-2.000200e-011
3.290000000000037e+000	5.000000e+000	3.290000e+000	2.820659e-010	-2.000200e-011
3.280000000000037e+000	5.000000e+000	3.280000e+000	2.828259e-010	-2.000200e-011
3.270000000000037e+000	5.000000e+000	3.270000e+000	2.835964e-010	-2.000200e-011
3.260000000000037e+000	5.000000e+000	3.260000e+000	2.843777e-010	-2.000200e-011
3.250000000000037e+000	5.000000e+000	3.250000e+000	2.851699e-010	-2.000200e-011
3.240000000000038e+000	5.000000e+000	3.240000e+000	2.859733e-010	-2.000200e-011
3.230000000000038e+000	5.000000e+000	3.230000e+000	2.867881e-010	-2.000200e-011
3.220000000000038e+000	5.000000e+000	3.220000e+000	2.876146e-010	-2.000200e-011
3.210000000000038e+000	5.000000e+000	3.210000e+000	2.884530e-010	-2.000200e-011
3.200000000000038e+000	5.000000e+000	3.200000e+000	2.893036e-010	-2.000200e-011
3.190000000000039e+000	5.000000e+000	3.190000e+000	2.901667e-010	-2.000200e-011
3.180000000000039e+000	5.000000e+000	3.180000e+000	2.910425e-010	-2.000200e-011
3.170000000000039e+000	5.000000e+000	3.170000e+000	2.919313e-010	-2.000200e-011
3.160000000000039e+000	5.000000e+000	3.160000e+000	2.928334e-010	-2.000200e-011
3.150000000000039e+000	5.000000e+000	3.150000e+000	2.937491e-010	-2.000200e-011
3.140000000000040e+000	5.000000e+000	3.140000e+000	2.946787e-010	-2.000200e-011
3.130000000000040e+000	5.000000e+000	3.130000e+000	2.956226e-010	-2.000200e-011
3.120000000000040e+000	5.000000e+000	3.120000e+000	2.965810e-010	-2.000200e-011
3.110000000000040e+000	5.000000e+000	3.110000e+000	2.975544e-010	-2.000200e-011
3.100000000000041e+000	5.000000e+000	3.100000e+000	2.985430e-010	-2.000200e-011
3.090000000000041e+000	5.000000e+000	3.090000e+000	2.995472e-010	-2.000200e-011
3.080000000000041e+000	5.000000e+000	3.080000e+000	3.005674e-010	-2.000200e-011
3.070000000000041e+000	5.000000e+000	3.070000e+000	3.016040e-010	-2.000200e-011
3.060000000000041e+000	5.000000e+000	3.060000e+000	3.026573e-010	-2.000200e-011
3.050000000000042e+000	5.000000e+000	3.050000e+000	3.037278e-010	-2.000200e-011
