#Uin1	Uin1	Uin2	out	I(V3)
3.130000000000040e+000	3.130000e+000	0.000000e+000	4.609911e-011	-5.001014e-012
3.120000000000040e+000	3.120000e+000	0.000000e+000	4.633874e-011	-5.001014e-012
3.110000000000040e+000	3.110000e+000	0.000000e+000	4.658210e-011	-5.001014e-012
3.100000000000041e+000	3.100000e+000	0.000000e+000	4.682927e-011	-5.001014e-012
3.090000000000041e+000	3.090000e+000	0.000000e+000	4.708035e-011	-5.001014e-012
3.080000000000041e+000	3.080000e+000	0.000000e+000	4.733542e-011	-5.001014e-012
3.070000000000041e+000	3.070000e+000	0.000000e+000	4.759459e-011	-5.001014e-012
3.060000000000041e+000	3.060000e+000	0.000000e+000	4.785796e-011	-5.001014e-012
3.050000000000042e+000	3.050000e+000	0.000000e+000	4.812562e-011	-5.001014e-012
3.040000000000042e+000	3.040000e+000	0.000000e+000	4.839768e-011	-5.001014e-012
3.030000000000042e+000	3.030000e+000	0.000000e+000	4.867425e-011	-5.001014e-012
3.020000000000042e+000	3.020000e+000	0.000000e+000	4.895545e-011	-5.001014e-012
3.010000000000042e+000	3.010000e+000	0.000000e+000	4.924139e-011	-5.001014e-012
3.000000000000043e+000	3.000000e+000	0.000000e+000	4.953219e-011	-5.001014e-012
2.990000000000043e+000	2.990000e+000	0.000000e+000	4.982799e-011	-5.001014e-012
2.980000000000043e+000	2.980000e+000	0.000000e+000	5.012889e-011	-5.001014e-012
2.970000000000043e+000	2.970000e+000	0.000000e+000	5.043506e-011	-5.001014e-012
2.960000000000044e+000	2.960000e+000	0.000000e+000	5.074660e-011	-5.001014e-012
2.950000000000044e+000	2.950000e+000	0.000000e+000	5.106369e-011	-5.001014e-012
2.940000000000044e+000	2.940000e+000	0.000000e+000	5.138645e-011	-5.001014e-012
2.930000000000044e+000	2.930000e+000	0.000000e+000	5.171506e-011	-5.001014e-012
2.920000000000044e+000	2.920000e+000	0.000000e+000	5.204966e-011	-5.001014e-012
2.910000000000045e+000	2.910000e+000	0.000000e+000	5.239042e-011	-5.001014e-012
2.900000000000045e+000	2.900000e+000	0.000000e+000	5.273752e-011	-5.001014e-012
2.890000000000045e+000	2.890000e+000	0.000000e+000	5.309113e-011	-5.001014e-012
2.880000000000045e+000	2.880000e+000	0.000000e+000	5.345143e-011	-5.001014e-012
2.870000000000045e+000	2.870000e+000	0.000000e+000	5.381862e-011	-5.001014e-012
2.860000000000046e+000	2.860000e+000	0.000000e+000	5.419291e-011	-5.001014e-012
2.850000000000046e+000	2.850000e+000	0.000000e+000	5.457448e-011	-5.001014e-012
2.840000000000046e+000	2.840000e+000	0.000000e+000	5.496358e-011	-5.001014e-012
2.830000000000046e+000	2.830000e+000	0.000000e+000	5.536040e-011	-5.001014e-012
2.820000000000047e+000	2.820000e+000	0.000000e+000	5.576519e-011	-5.001014e-012
2.810000000000047e+000	2.810000e+000	0.000000e+000	5.617820e-011	-5.001014e-012
2.800000000000047e+000	2.800000e+000	0.000000e+000	5.659967e-011	-5.001014e-012
2.790000000000047e+000	2.790000e+000	0.000000e+000	5.702986e-011	-5.001014e-012
2.780000000000047e+000	2.780000e+000	0.000000e+000	5.746905e-011	-5.001014e-012
2.770000000000048e+000	2.770000e+000	0.000000e+000	5.791754e-011	-5.001014e-012
2.760000000000048e+000	2.760000e+000	0.000000e+000	5.837560e-011	-5.001014e-012
2.750000000000048e+000	2.750000e+000	0.000000e+000	5.884356e-011	-5.001014e-012
2.740000000000048e+000	2.740000e+000	0.000000e+000	5.932173e-011	-5.001014e-012
2.730000000000048e+000	2.730000e+000	0.000000e+000	5.981046e-011	-5.001014e-012
2.720000000000049e+000	2.720000e+000	0.000000e+000	6.031009e-011	-5.001014e-012
2.710000000000049e+000	2.710000e+000	0.000000e+000	6.082101e-011	-5.001014e-012
2.700000000000049e+000	2.700000e+000	0.000000e+000	6.134359e-011	-5.001014e-012
2.690000000000049e+000	2.690000e+000	0.000000e+000	6.187824e-011	-5.001014e-012
2.680000000000050e+000	2.680000e+000	0.000000e+000	6.242538e-011	-5.001014e-012
2.670000000000050e+000	2.670000e+000	0.000000e+000	6.298546e-011	-5.001014e-012
2.660000000000050e+000	2.660000e+000	0.000000e+000	6.355893e-011	-5.001014e-012
2.650000000000050e+000	2.650000e+000	0.000000e+000	6.414629e-011	-5.001014e-012
2.640000000000050e+000	2.640000e+000	0.000000e+000	6.474805e-011	-5.001014e-012
2.630000000000051e+000	2.630000e+000	0.000000e+000	6.536473e-011	-5.001014e-012
2.620000000000051e+000	2.620000e+000	0.000000e+000	6.599692e-011	-5.001014e-012
2.610000000000051e+000	2.610000e+000	0.000000e+000	6.664519e-011	-5.001014e-012
2.600000000000051e+000	2.600000e+000	0.000000e+000	6.731017e-011	-5.001014e-012
2.590000000000051e+000	2.590000e+000	0.000000e+000	6.799251e-011	-5.001014e-012
2.580000000000052e+000	2.580000e+000	0.000000e+000	6.869290e-011	-5.001014e-012
2.570000000000052e+000	2.570000e+000	0.000000e+000	6.941207e-011	-5.001014e-012
2.560000000000052e+000	2.560000e+000	0.000000e+000	7.015078e-011	-5.001014e-012
2.550000000000052e+000	2.550000e+000	0.000000e+000	7.090984e-011	-5.001014e-012
2.540000000000052e+000	2.540000e+000	0.000000e+000	7.169011e-011	-5.001014e-012
2.530000000000053e+000	2.530000e+000	0.000000e+000	7.249247e-011	-5.001014e-012
2.520000000000053e+000	2.520000e+000	0.000000e+000	7.331790e-011	-5.001014e-012
2.510000000000053e+000	2.510000e+000	0.000000e+000	7.416739e-011	-5.001014e-012
2.500000000000053e+000	2.500000e+000	0.000000e+000	7.504201e-011	-5.001014e-012
2.490000000000054e+000	2.490000e+000	0.000000e+000	7.594290e-011	-5.001014e-012
2.480000000000054e+000	2.480000e+000	0.000000e+000	7.687125e-011	-5.001014e-012
2.470000000000054e+000	2.470000e+000	0.000000e+000	7.782835e-011	-5.001014e-012
2.460000000000054e+000	2.460000e+000	0.000000e+000	7.881554e-011	-5.001014e-012
2.450000000000054e+000	2.450000e+000	0.000000e+000	7.983427e-011	-5.001014e-012
2.440000000000055e+000	2.440000e+000	0.000000e+000	8.088608e-011	-5.001014e-012
