time	V(n006)	V(n010)
5.541644944518699e-004	0.000000e+000	5.562149e-011
5.551644944518699e-004	0.000000e+000	5.562158e-011
5.561644944518699e-004	0.000000e+000	5.562165e-011
5.571644944518699e-004	0.000000e+000	5.562168e-011
5.581644944518700e-004	0.000000e+000	5.562171e-011
5.591644944518700e-004	0.000000e+000	5.562173e-011
5.601644944518700e-004	0.000000e+000	5.562174e-011
5.611644944518700e-004	0.000000e+000	5.562175e-011
5.621644944518701e-004	0.000000e+000	5.562176e-011
5.631644944518701e-004	0.000000e+000	5.562176e-011
5.641644944518701e-004	0.000000e+000	5.562176e-011
5.651644944518701e-004	0.000000e+000	5.562177e-011
5.661644944518702e-004	0.000000e+000	5.562177e-011
5.671644944518702e-004	0.000000e+000	5.562177e-011
5.681644944518702e-004	0.000000e+000	5.562177e-011
5.691644944518702e-004	0.000000e+000	5.562177e-011
5.701644944518703e-004	0.000000e+000	5.562177e-011
5.711644944518703e-004	0.000000e+000	5.562177e-011
5.721644944518703e-004	0.000000e+000	5.562177e-011
5.731644944518703e-004	0.000000e+000	5.562177e-011
5.741644944518703e-004	0.000000e+000	5.562177e-011
5.751644944518704e-004	0.000000e+000	5.562177e-011
5.761644944518704e-004	0.000000e+000	5.562177e-011
5.771644944518704e-004	0.000000e+000	5.562177e-011
5.781644944518704e-004	0.000000e+000	5.562177e-011
5.791644944518705e-004	0.000000e+000	5.562177e-011
5.801644944518705e-004	0.000000e+000	5.562177e-011
5.811644944518705e-004	0.000000e+000	5.562177e-011
5.821644944518705e-004	0.000000e+000	5.562177e-011
5.831644944518706e-004	0.000000e+000	5.562177e-011
5.841644944518706e-004	0.000000e+000	5.562177e-011
5.851644944518706e-004	0.000000e+000	5.562177e-011
5.861644944518706e-004	0.000000e+000	5.562177e-011
5.871644944518707e-004	0.000000e+000	5.562177e-011
5.881644944518707e-004	0.000000e+000	5.562177e-011
5.891644944518707e-004	0.000000e+000	5.562177e-011
5.901644944518707e-004	0.000000e+000	5.562177e-011
5.911644944518708e-004	0.000000e+000	5.562177e-011
5.921644944518708e-004	0.000000e+000	5.562177e-011
5.931644944518708e-004	0.000000e+000	5.562177e-011
5.941644944518708e-004	0.000000e+000	5.562177e-011
5.951644944518709e-004	0.000000e+000	5.562177e-011
5.961644944518709e-004	0.000000e+000	5.562177e-011
5.971644944518709e-004	0.000000e+000	5.562177e-011
5.981644944518709e-004	0.000000e+000	5.562177e-011
5.991644944518710e-004	0.000000e+000	5.562177e-011
6.001644944518710e-004	0.000000e+000	5.562177e-011
6.011644944518710e-004	0.000000e+000	5.562177e-011
6.021644944518710e-004	0.000000e+000	5.562177e-011
6.031644944518711e-004	0.000000e+000	5.562177e-011
6.041644944518711e-004	0.000000e+000	5.562177e-011
6.051644944518711e-004	0.000000e+000	5.562177e-011
6.061644944518711e-004	0.000000e+000	5.562177e-011
6.071644944518712e-004	0.000000e+000	5.562177e-011
6.081644944518712e-004	0.000000e+000	5.562177e-011
6.091644944518712e-004	0.000000e+000	5.562177e-011
6.101644944518712e-004	0.000000e+000	5.562177e-011
6.111644944518712e-004	0.000000e+000	5.562177e-011
6.121644944518713e-004	0.000000e+000	5.562177e-011
6.131644944518713e-004	0.000000e+000	5.562177e-011
6.141644944518713e-004	0.000000e+000	5.562177e-011
6.151644944518713e-004	0.000000e+000	5.562177e-011
6.161644944518714e-004	0.000000e+000	5.562177e-011
6.171644944518714e-004	0.000000e+000	5.562177e-011
6.181644944518714e-004	0.000000e+000	5.562177e-011
6.191644944518714e-004	0.000000e+000	5.562177e-011
6.201644944518715e-004	0.000000e+000	5.562177e-011
6.211644944518715e-004	0.000000e+000	5.562177e-011
6.221644944518715e-004	0.000000e+000	5.562177e-011
6.231644944518715e-004	0.000000e+000	5.562177e-011
6.241644944518716e-004	0.000000e+000	5.562177e-011
6.251644944518716e-004	0.000000e+000	5.562177e-011
6.261644944518716e-004	0.000000e+000	5.562177e-011
6.271644944518716e-004	0.000000e+000	5.562177e-011
6.281644944518717e-004	0.000000e+000	5.562177e-011
6.291644944518717e-004	0.000000e+000	5.562177e-011
6.301644944518717e-004	0.000000e+000	5.562177e-011
6.311644944518717e-004	0.000000e+000	5.562177e-011
6.321644944518718e-004	0.000000e+000	5.562177e-011
6.331644944518718e-004	0.000000e+000	5.562177e-011
6.341644944518718e-004	0.000000e+000	5.562177e-011
6.351644944518718e-004	0.000000e+000	5.562177e-011
6.361644944518719e-004	0.000000e+000	5.562177e-011
6.371644944518719e-004	0.000000e+000	5.562177e-011
6.381644944518719e-004	0.000000e+000	5.562177e-011
6.391644944518719e-004	0.000000e+000	5.562177e-011
6.401644944518720e-004	0.000000e+000	5.562177e-011
6.411644944518720e-004	0.000000e+000	5.562177e-011
6.421644944518720e-004	0.000000e+000	5.562177e-011
6.431644944518720e-004	0.000000e+000	5.562177e-011
6.441644944518721e-004	0.000000e+000	5.562177e-011
6.451644944518721e-004	0.000000e+000	5.562177e-011
6.461644944518721e-004	0.000000e+000	5.562177e-011
6.471644944518721e-004	0.000000e+000	5.562177e-011
6.481644944518721e-004	0.000000e+000	5.562177e-011
6.491644944518722e-004	0.000000e+000	5.562177e-011
6.501644944518722e-004	0.000000e+000	5.562177e-011
6.511644944518722e-004	0.000000e+000	5.562177e-011
6.521644944518722e-004	0.000000e+000	5.562177e-011
6.531644944518723e-004	0.000000e+000	5.562177e-011
6.541644944518723e-004	0.000000e+000	5.562177e-011
6.551644944518723e-004	0.000000e+000	5.562177e-011
6.561644944518723e-004	0.000000e+000	5.562177e-011
6.571644944518724e-004	0.000000e+000	5.562177e-011
6.581644944518724e-004	0.000000e+000	5.562177e-011
6.591644944518724e-004	0.000000e+000	5.562177e-011
6.601644944518724e-004	0.000000e+000	5.562177e-011
6.611644944518725e-004	0.000000e+000	5.562177e-011
6.621644944518725e-004	0.000000e+000	5.562177e-011
6.631644944518725e-004	0.000000e+000	5.562177e-011
6.641644944518725e-004	0.000000e+000	5.562177e-011
6.651644944518726e-004	0.000000e+000	5.562177e-011
6.671644944518726e-004	0.000000e+000	5.562177e-011
6.691644944518727e-004	0.000000e+000	5.562177e-011
6.711644944518727e-004	0.000000e+000	5.562177e-011
6.731644944518728e-004	0.000000e+000	5.562177e-011
6.751644944518728e-004	0.000000e+000	5.562177e-011
6.781644944518729e-004	0.000000e+000	5.562177e-011
6.811644944518730e-004	0.000000e+000	5.562177e-011
6.841644944518730e-004	0.000000e+000	5.562177e-011
6.864502087375873e-004	0.000000e+000	5.562177e-011
6.887359230233017e-004	0.000000e+000	5.562177e-011
6.910216373090160e-004	0.000000e+000	5.562177e-011
6.933073515947304e-004	0.000000e+000	5.562177e-011
6.955930658804448e-004	0.000000e+000	5.562177e-011
6.978787801661591e-004	0.000000e+000	5.562177e-011
7.001644944518734e-004	0.000000e+000	5.562177e-011
7.048787801661593e-004	0.000000e+000	5.562177e-011
7.095930658804451e-004	0.000000e+000	5.562177e-011
7.143073515947309e-004	0.000000e+000	5.562177e-011
7.190216373090168e-004	0.000000e+000	5.562177e-011
7.237359230233025e-004	0.000000e+000	5.562177e-011
7.284502087375884e-004	0.000000e+000	5.562177e-011
7.331644944518742e-004	0.000000e+000	5.562177e-011
8.961644944518782e-004	0.000000e+000	5.562177e-011
